# CLDR symbol names for sr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	знак узвика	знак узвика | узвичник
#	тараба	lb | број | тараба | хеш | хештаг
$	долар	долар | новац | пезо | УСД
%	проценат	посто | проценат
&	амперсанд	амперсанд | и
'	апостроф на писаћој машини	апостроф | апостроф на писаћој машини | наводник | полунаводник
)	десна заграда	десна заграда | заграда | округла заграда
*	звездица	звезда | звездица | џокер
+	знак плус	знак | плус | сабирање
,	зарез	зарез
-	цртица-минус	минус | црта | цртица | цртица-минус
.	тачка	тачка | тачка на крају реченице
/	коса црта	коса црта
:	две тачке	две тачке
;	тачка и зарез	тачка и зарез
<	мање	мање | мање од | ознака | почетна ознака
=	једнако	једнако | једнако је
>	веће	веће | веће од | завршна ознака | ознака
?	знак питања	знак питања | упитник
@	знак „ет”	знак „ет”
[	лева угласта заграда	заграда | лева угласта заграда | угласта заграда
\	обрнута коса црта	обрнута коса црта
]	десна угласта заграда	десна угласта заграда | заграда | угласта заграда
^	циркумфлекс	знак за уметање | контрола | нагласак | показивач | циркумфлекс
_	доња црта	доња црта | линија | црта
`	краткоузлазни нагласак	краткоузлазни | нагласак | тон
{	лева витичаста заграда	витичаста заграда | заграда | лева витичаста заграда
|	усправна црта	вертикална | линија | усправна | црта
}	десна витичаста заграда	витичаста заграда | десна витичаста заграда | заграда
~	тилда	тилда
¡	обрнут знак узвика	знак узвика | обрнут | обрнут знак узвика | узвичник
¢	цент	цент
£	фунта	[EGP] | [GBP] | валута | фунта
¤	непозната валута	
¥	јен	[CNY] | [JPY] | валута | јен | јуан
§	одељак	део | знак за одељак | одељак | параграф
¨	дијереза	дијереза | преглас | трема
©	ауторска права	C | copyright | ауторска | права
«	леви француски наводник	заграде | карети | леви француски наводник | лево | наводник | угласти | шеврон
¬	негација	не | негација
®	регистровано	R | регистровано
°	степен	степен | удео | час
±	плус-минус	плус-минус
²	експонент 2	2 | експонент | квадратни
³	експонент 3	3 | експонент | кубни
´	дугоузлазни нагласак	дугоузлазни | нагласак | тон
µ	знак за микро	знак за микро | мера
¶	знак за параграф	алинеја | знак за параграф | параграф | пасус
·	средња тачка	средина | средња тачка | тачка
¹	експонент 1	1 | експонент
»	десни француски наводник	десни француски наводник | десно | заграде | карети | наводник | угласти | шеврон
¿	обрнути знак питања	знак питања | обрнут | обрнути знак питања | упитник
×	знак множења	знак множења | множење | помножити | пута
÷	знак дељења	дељење | знак дељења | поделити
֏	јерменски драм	
؋	авганистански авгани	
،	арапски зарез	арапски | зарез
؛	арапска тачка и зарез	арапска | арапска тачка и зарез | тачка и зарез
؟	арапски знак питања	арапски | арапски знак питања | знак питања | упитник
৳	бангладешка така	
฿	тајландски бат	
៛	камбоџански ријел	
‐	цртица	црта | цртица
–	црта	правописни знак | црта
—	дуга црта	дуга црта | правописни знак
―	хоризонтална трака	линија | трака | хоризонтална трака | црта
‘	леви апостроф	апостроф | леви апостроф | наводник | полунаводник | типогрфски наводник
’	десни апостроф	апостроф | десни апостроф | наводник | полунаводник | типографски наводник
‚	доњи десни апостроф	апостроф | доњи десни апостроф | доњи полунаводник | полунаводник
“	леви наводник	двоструки наводници | леви наводник | наводник | наводници | типографски наводник
”	десни наводник	двоструки наводници | десни наводник | наводник | наводници | типографски наводник
„	доњи десни наводник	двоструки наводници | доњи десни наводник | доњи наводник | наводник | наводници | типографски наводни
†	знак бодежа	бодеж | знак бодежа | обелиск
‡	знак двоструког бодежа	бодеж | двоструко | знак двоструког бодежа | обелиск
•	знак за набрајање	знак за набрајање | тачка
…	три тачке	изостављање | тачке | три тачке
‧	тачка у функцији цртице	тачка | тачка у функцији цртице | црта | цртица
‰	промил	на хиљаду | промил
