# CLDR symbol names for sr_Latn_BA: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
*	zvjezdica	zvjezdica
:	dvije tačke	dvije tačke
[	lijeva uglasta zagrada	lijeva uglasta zagrada
{	lijeva vitičasta zagrada	lijeva vitičasta zagrada
§	odjeljak	dio | odjeljak | paragraf | znak za odjeljak
«	lijevi francuski navodnik	lijevi francuski navodnik
°		čas | stepen | udio
µ		mjera | znak za mikro
÷	znak dijeljenja	dijeljenje | podijeliti | znak dijeljenja
‘	lijevi apostrof	apostrof | lijevi apostrof | navodnik | polunavodnik | tipografski navodnik
“	lijevi navodnik	dvostruki navodnici | lijevi navodnik | navodnici | navodnik | tipografski navodnik
⁂		asterizam | zvjezdice
⁄		kosa crta za dijeljenje | razlomačka kosa crta | zapeta
₨		rupija | valuta
₩		KPW | sjevernokorejski von | von
₰	njemački peni	njemački peni | pfenig | valuta
₷		spesmilo | valuta
ℹ		i | informacije | izvor informacija
←	strelica koja pokazuje nalijevo	lijevo | strelica | strelica koja pokazuje nalijevo
↓	strelica koja pokazuje nadolje	dolje | strelica | strelica koja pokazuje nadolje
↔	strelica nalijevo i nadesno	strelica | strelica nalijevo i nadesno
↕	strelica nagore i nadolje	strelica | strelica nagore i nadolje
↖	strelica nagore i nalijevo	sjeverozapad | smjer | strelica | strelica nagore i nalijevo
↗		sjeveroistok | smjer | strelica | strelica nagore i nadesno
↘	strelica nadolje i nadesno	jugoistok | smjer | strelica | strelica nadolje i nadesno
↙	strelica nadolje i nalijevo	jugozapad | smjer | strelica | strelica nadolje i nalijevo
↚	kosa crta sa strelicom nalijevo	kosa crta sa strelicom nalijevo
↜	talasasta strelica nalijevo	talasasta strelica nalijevo
↞	strelica nalijevo sa dva vrha	strelica nalijevo sa dva vrha
↡	strelica nadolje sa dva vrha	strelica nadolje sa dva vrha
↢	strelica sa repom nalijevo	strelica sa repom nalijevo
↤	strelica sa crtom nalijevo	strelica sa crtom nalijevo
↧	strelica sa crtom nadolje	strelica sa crtom nadolje
↨	strelica nagore i nadolje sa bazom	strelica nagore i nadolje sa bazom
↪	strelica za polukružni okret ulijevo	strelica | strelica za polukružni okret ulijevo
↫	strelica nalijevo sa petljom	strelica nalijevo sa petljom
↬	strelica nadesno sa petljom	strelica nadesno sa petljom
↭	talasasta strelica sa vrhom nalijevo i nadesno	talasasta strelica sa vrhom nalijevo i nadesno
↮	strelica sa vrhom nadesno i nalijevo i sa kosom crtom	strelica sa vrhom nadesno i nalijevo i sa kosom crtom
↯	cik-cak strelica nadolje	cik-cak strelica nadolje
↰	strelica nagore sa vrhom nalijevo	strelica nagore sa vrhom nalijevo
↲	strelica nadolje sa vrhom nalijevo	strelica nadolje sa vrhom nalijevo
↳	strelica nadolje sa vrhom nadesno	strelica nadolje sa vrhom nadesno
↴	strelica nadesno sa uglom nadolje	strelica nadesno sa uglom nadolje
↵	strelica nadolje sa uglom nalijevo	strelica nadolje sa uglom nalijevo
↶	polukružna strelica u smjeru suprotnom od kazaljke na satu	polukružna strelica u smjeru suprotnom od kazaljke na satu
↷	polukružna strelica u smjeru kazaljke na satu	polukružna strelica u smjeru kazaljke na satu
↸	strelica sa dugom crtom u smjeru sjeverozapada	strelica sa dugom crtom u smjeru sjeverozapada
↹	strelica sa crtom nalijevo iznad strelice sa crtom nadesno	strelica sa crtom nalijevo iznad strelice sa crtom nadesno
↺	otvorena kružna strelica u smjeru suprotnom od kazaljke na satu	otvorena kružna strelica u smjeru suprotnom od kazaljke na satu
↻	otvorena kružna strelica u smjeru kazaljke na satu	otvorena kružna strelica u smjeru kazaljke na satu
↼	harpun nalijevo sa kukicom nagore	harpun nalijevo sa kukicom nagore
↽	harpun nalijevo sa kukicom nadolje	harpun nalijevo sa kukicom nadolje
↿	harpun nagore sa kukicom nalijevo	harpun nagore sa kukicom nalijevo
⇁	harpun nadesno sa kukicom nadolje	harpun nadesno sa kukicom nadolje | kukica
⇂	harpun nadolje sa kukicom nadesno	harpun nadolje sa kukicom nadesno | kukica
⇃	harpun nadolje sa kukicom nalijevo	harpun nadolje sa kukicom nalijevo | kukica
⇄	strelica udesno iznad strelice nalijevo	strelica udesno iznad strelice nalijevo
⇅	strelica nagore i strelica nadolje	dolje | gore | strelica | strelica nagore i strelica nadolje
⇆	strelica nalijevo iznad strelice nadesno	desno | lijevo | strelica | strelica nalijevo iznad strelice nadesno
⇇	uparene strelice nalijevo	uparene strelice nalijevo
⇊	uparene strelice nadolje	uparene strelice nadolje
⇋	harpun nalijevo iznad harpuna nadesno	harpun nalijevo iznad harpuna nadesno
⇌	harpun nadesno iznad harpuna nalijevo	harpun nadesno iznad harpuna nalijevo
⇍	precrtana dvostruka strelica nalijevo	precrtana dvostruka strelica nalijevo
⇎	precrtana dvostruka strelica nalijevo i nadesno	precrtana dvostruka strelica nalijevo i nadesno
⇐	dvostruka strelica nalijevo	dvostruka strelica nalijevo
⇓	dvostruka strelica nadolje	dvostruka strelica nadolje
⇔	dvostruka strelica nalijevo i nadesno	dvostruka strelica nalijevo i nadesno
⇖	dvostruka strelica nagore i nalijevo	dvostruka strelica nagore i nalijevo
⇘	dvostruka strelica nadolje i nadesno	dvostruka strelica nadolje i nadesno
⇙	dvostruka strelica nadolje i nalijevo	dvostruka strelica nadolje i nalijevo
⇚	trostruka strelica nalijevo	trostruka strelica nalijevo
⇜	krivudava strelica nalijevo	krivudava strelica nalijevo
⇟	dvostruko precrtana strelica nadolje	dvostruko precrtana strelica nadolje
⇠	isprekidana crtica nalijevo	isprekidana crtica nalijevo
⇣	isprekidana crtica nadolje	isprekidana crtica nadolje
⇤	strelica nalijevo sa crtom	strelica nalijevo sa crtom
⇦	prazna strelica nalijevo	prazna strelica nalijevo
⇩	prazna strelica nadolje	prazna strelica nadolje
⇵	strelica nadolje i strelica nagore	strelica nadolje i strelica nagore
∀		bilo koje | sve | univerzalno | za sve
∅		matematika | operator skupa | prazan skup
∉		element | nije element
∋		element | sadrži kao član
∏		logički | N-ti proizvod | proizvod
∓		minus ili plus | plus-minus
∕	kosa crta za dijeljenje	crta | kosa crta | kosa crta za dijeljenje | zapeta
∗	operator u obliku zvjezdice	operator u obliku zvjezdice | zvjezdica
√	kvadratni korijen	korijen | kvadratni | radikal
∟		matematika | prav ugao | pravi ugao
∣	dijeljenje	dijeljenje | djelilac
∧		logička konjunkcija | logičko „i“
∩	presjek	presjek
∾	obrnuti lijeni s	obrnuti lijeni s
≦		manje od iznad jednako | matematika | nejednakost
≪		matematika | mnogo manje od | nejednakost
≻	slijedi	matematika | operator skupa | slijedi
⊁	ne slijedi	matematika | ne slijedi | operator skupa
⊕		plus | plus u krugu
⊘	znak dijeljenja u krugu	matematika | nalik dijeljenju | znak dijeljenja u krugu
⊛	operator u obliku zaokružene zvjezdice	operator | operator u obliku zaokružene zvjezdice | zvjezdica
⊱	slijedi ispod relacije	matematika | operator skupa | slijedi ispod relacije
⋆	operator u obliku zvijezde	operator | operator u obliku zvijezde
⋒	dvostruki presjek	dvostruki presjek | matematika | operator skupa | presjek
⋱	dijagonalna trotačka nadolje desno	dijagonalna trotačka nadolje desno | matematika | trotačka
⏭	dugme za sljedeću pjesmu	dugme za sljedeću pjesmu | sljedeća pjesma | sljedeći prizor | strelica | trougao
⏮	dugme za posljednju pjesmu	dugme za posljednju pjesmu | prethodna pjesma | prethodni prizor | strelica | trougao
▧	kvadrat sa popunom od gore lijevo prema dolje desno	kvadrat sa popunom od gore lijevo prema dolje desno
▨	kvadrat sa popunom od gore desno prema dolje lijevo	kvadrat sa popunom od gore desno prema dolje lijevo
▫	mali bijeli kvadrat	geometrija | kvadrat | mali bijeli kvadrat
▼	ispunjen trougao okrenut nadolje	dolje | ispunjen trougao okrenut nadolje | ispunjeno | strelica | trougao
▽	prazan trougao okrenut nadolje	prazan trougao okrenut nadolje
▾	popunjeni mali trougao okrenut nadolje	popunjeni mali trougao okrenut nadolje
▿	prazan mali trougao okrenut nadolje	prazan mali trougao okrenut nadolje
◀		dugme za reprodukciju unazad | lijevo | strelica | trougao | vraćanje
◁	prazan trougao okrenut nalijevo	prazan trougao okrenut nalijevo
◂	popunjeni mali trougao okrenut nalijevo	popunjeni mali trougao okrenut nalijevo
◃	prazan mali trougao okrenut nalijevo	prazan mali trougao okrenut nalijevo
◄	popunjeni pokazivač okrenut nalijevo	popunjeni pokazivač okrenut nalijevo
◅	prazan pokazivač okrenut nalijevo	prazan pokazivač okrenut nalijevo
◐		krug sa popunjenom levom polovinom | krug sa popunjenom lijevom polovinom
◕	krug sa praznim gornjim lijevim kvadrantom	krug sa praznim gornjim lijevim kvadrantom
◖	lijeva popunjena polovina kruga	lijeva popunjena polovina kruga
◜	kružni luk gornjeg lijevog kvadranta	kružni luk gornjeg lijevog kvadranta
◟	kružni luk donjeg lijevog kvadranta	kružni luk donjeg lijevog kvadranta
◢	popunjeni trougao dolje desno	popunjeni trougao dolje desno
◣	popunjeni trougao dolje lijevo	popunjeni trougao dolje lijevo
◤	popunjeni trougao gore lijevo	popunjeni trougao gore lijevo
◻	bijeli kvadrat srednje veličine	bijeli kvadrat srednje veličine | geometrija | kvadrat
☁		oblak | vrijeme
☂		kiša | kišobran | odjeća
☃	snješko bijelić	hladno | snijeg | snješko bijelić
☘	djetelina	biljka | djetelina
☠		čudovište | lice | lobanja | lobanja sa ukrštenim kostima | smrt | ukrštene kosti
☪	zvijezda i polumjesec	islam | muslimani | religija | zvijezda i polumjesec
☺	nasmijano lice	nasmijano lice
♟	šahovski pješak	pion | potrošan | šah | šahovski pješak
♾		beskonačnost | bezgranično | univerzalno | vječno
⛑	kaciga sa bijelim krstom	kaciga | kaciga sa bijelim krstom | krst | lice | pomoć | šljem
⛴		čamac | putnik | trajekt
⛷		skijaš
