# CLDR symbol names for cs: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	vykřičník	vykřičník
#	mřížka	hash | hashtag | křížek | mřížka
$	dolar	dolar | peníze | peso | USD
%	procento	procenta | procento
&	ampersand	a | ampersand | et | plus
'	apostrof	apostrof | jednoduchá uvozovka | rovná uvozovka
)	pravá závorka	kulatá závorka | kulaté závorky | pravá kulatá závorka | pravá závorka | závorka | závorky
*	hvězdička	hvězdička | maskovací znak | zástupný znak | žolíkový znak
+	znaménko plus	plus | sčítání | součet | znaménko plus
,	čárka	čárka
-	spojovník-minus	minus | pomlčka | spojovník | spojovník-minus
.	tečka	bod | tečka
/	lomítko	lomeno | lomítko | zlomek
:	dvojtečka	dvojtečka
;	středník	středník
<	je menší než	je menší než | menší než | tag | začátek tagu | začátek značky | značka
=	rovná se	je rovno | rovná se | rovnítko | rovnost
>	je větší než	je větší než | konec tagu | konec značky | tag | větší než | značka
?	otazník	otazník
@	zavináč	@ | at | et | zavináč
[	levá hranatá závorka	hranatá závorka | hranaté závorky | levá hranatá závorka | závorka | závorky
\	zpětné lomítko	obrácené lomítko | zpětné lomítko
]	pravá hranatá závorka	hranatá závorka | hranaté závorky | pravá hranatá závorka | závorka | závorky
^	stříška	circumflex | cirkumflex | háček | stříška | vokáň
_	podtržení	dlouhá čára | podtrhávací čára | podtržení | podtržítko
`	obrácená diakritická čárka	akcent | čárka | gravis | obrácená | obrácená diakritická čárka | přízvuk | těžký akcent | tupý akcent
{	levá složená závorka	levá složená závorka | složená závorka | složené závorky | závorka | závorky
|	svislá čára	absolutní hodnota | čára | negace logického součinu | pruh | Shefferova funkce | svislá čára | svislý pruh
}	pravá složená závorka	pravá složená závorka | složená závorka | složené závorky | závorka | závorky
~	vlnovka	tilda | vlnovka
¡	obrácený vykřičník	obrácený | vykřičník
¢	cent	cent
£	libra	EGP | GBP | libra | měna
¤	neznámá měna	
¥	jen	CNY | jen | JPY | juan | jüan | měna
§	paragraf	část | oddíl | odstavec | paragraf | sekce
¨	trema	diereze | dvojtečka | přehláska | rozlučník | trema | umlaut
©	znak ochrany autorského práva	autorská práva | c | copyright | značka ochrany autorských práv | znak ochrany autorského práva
«	boční uvozovky mířící doleva	boční uvozovky | boční uvozovky mířící doleva | lomené uvozovky | uvozovky
¬	negace	ne | negace | neplatí
®	znak registrované ochranné známky	ochranná známka | r | R v kroužku | registrovaná ochranná známka | registrováno | znak registrované ochranné známky
°	stupeň	stupeň | stupňovitost
±	plus minus	plus minus | plus-minus | plus/minus
