# CLDR symbol names for te: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ఆశ్చర్యార్థక గుర్తు	ఆశ్చర్యార్థకం | ఆశ్చర్యార్థక గుర్తు | ఆశ్చర్యార్థక స్థానం | బ్యాంగ్
#	హ్యాష్ గుర్తు	నంబర్ | పౌండ్ | హ్యాష్ | హ్యాష్ గుర్తు | హ్యాష్‌ట్యాగ్
$	డాలర్	డబ్బు | డాలర్ | పెసో | యుఎస్‌డి
%	శాతం	పర్ సెంట్ | పర్-సెంట్ | శాతం
&	అంపెర్సాండ్	et | అంపెర్సాండ్ | మరియు
'	టైప్‌వ్రైటర్ అపాస్ట్రఫీ	అపాస్ట్రఫీ | కోట్ | టైప్‌వ్రైటర్ అపాస్ట్రఫీ | సింగిల్ కోట్
)	మూసివేసిన కుండలీకరణములు	కుండలీకరణములు | పారెన్ | పారెన్స్ | బ్రాకెట్ | మూసివేసిన కుండలీకరణములు | వృత్తాకార బ్రాకెట్
*	నక్షత్రం గుర్తు	నక్షత్రం | నక్షత్రం గుర్తు | వైల్డ్‌కార్డ్
+	కూడిక చిహ్నం	కూడిక | కూడిక చిహ్నం | చేర్చు
,	కామా	కామా
-	హైఫన్-తీసివేత	డాష్ | తీసివేత | హైఫన్ | హైఫన్-తీసివేత
.	పీరియడ్	డాట్ | పీరియడ్ | విరామ చిహ్నం
/	స్లాష్	వక్రత | వర్గ్యూల్ | వాక్ | సోలిడస్ | స్ట్రోక్ | స్లాష్
:	కొలన్	కొలన్
;	సెమీకొలన్	సెమీ-కొలన్ | సెమీకొలన్
<	దీని కంటే తక్కువ	ట్యాగ్ | తెరిచిన ట్యాగ్ | దీని కంటే తక్కువ
=	సమానం	సమానం | సమానమైన
>	దీని కంటే ఎక్కువ	ట్యాగ్ | దీని కంటే ఎక్కువ | మూసివేయి ట్యాగ్
?	ప్రశ్న గుర్తు	ప్రశ్న | ప్రశ్న గుర్తు
@	గుర్తులో	అరోబా | అరోబేస్ | ఆమ్‌సాట్ | గుర్తులో | చిహ్నంలో | దీనిలో వాణిజ్యం | స్ట్రుడెల్
[	తెరిచిన చదరపు బ్రాకెట్	క్రోచెట్ | చదరపు బ్రాకెట్ | తెరిచిన చదరపు బ్రాకెట్ | బ్రాకెట్
\	బ్యాక్‌స్లాష్	బ్యాక్‌స్లాష్ | రివర్స్ సోలిడస్ | వాక్
]	మూసివేసిన చదరపు బ్రాకెట్	క్రోచెట్ | చదరపు బ్రాకెట్ | బ్రాకెట్ | మూసివేసిన చదరపు బ్రాకెట్
^	వంగిన స్వరం	ఎక్స్ఓఆర్ గుర్తు | కారెట్ | కొడవలి | చెవ్రాన్ | నియంత్రణ | పవర్ | పాయింటర్ | వంగిన | స్వరం | హ్యాట్
_	దిగువ పంక్తి	అండర్‌డాష్ | అండర్‌లైన్ | డాష్ | దిగువ డాష్ | దిగువ పంక్తి | పంక్తి
`	గంభీరమైన స్వరం	గంభీరం | గంభీరమైన స్వరం | టోన్ | స్వరం
{	తెరిచిన కర్లీ బ్రాకెట్	కర్లీ బ్రాకెట్ | కర్లీ బ్రేస్ | గుల్‌వింగ్ | తెరిచిన కర్లీ బ్రాకెట్ | బ్రాకెట్ | బ్రేస్
|	నిలువుగా ఉన్న గీత	గీత | నిలువుగా ఉన్న గీత | నిలువుగా ఉన్న బార్ | పైక్ | పైపు | బార్ | విబార్ | షెఫర్ స్ట్రోక్ | స్టిక్ | స్ట్రోక్
}	మూసివేసిన కర్లీ బ్రాకెట్	కర్లీ బ్రాకెట్ | కర్లీ బ్రేస్ | గుల్‌వింగ్ | బ్రాకెట్ | బ్రేస్ | మూసివేసిన కర్లీ బ్రాకెట్
~	టిల్డ్	టిల్డ్
¡	విలోమ ఆశ్చర్యార్థక గుర్తు	ఆశ్చర్యార్థకం | ఆశ్చర్యార్థక స్థానం | ఆశ్యర్యార్థక గుర్తు | బ్యాంగ్ | విలోమం | విలోమ ఆశ్చర్యార్థక గుర్తు
¢	సెంట్	సెంట్
£	పౌండ్	ఇజిపి | కరెన్సీ | జిబిపి | పౌండ్
¤	తెలియని కరెన్సీ	
¥	యెన్	కరెన్సీ | జెపివై | యువాన్ | యెన్ | సిఎన్‌వై
§	విభాగం	పారాగ్రాఫ్ | భాగం | విభాగం | సిల్క్రో
¨	డయేరిసిస్	ఉమ్‌లౌట్ | ట్రీమా | డయేరిసిస్
©	కాపీరైట్ చిహ్నం	కాపీరైట్ | చిహ్నం
«	ఎడమ గిలెమెట్	ఎడమ | ఎడమ గిలెమెట్ | కారెట్లు | కోణం | క్వాట్ | చేవ్రాన్ | బ్రాకెట్లు
¬	రుణాత్మకం	కాదు | రుణాత్మకం
®	రిజిస్టర్డ్ ట్రేడ్ మార్క్	ఆర్ అక్షరం | మార్క్ | రిజిస్టర్డ్ | రిజిస్టర్డ్ ట్రేడ్ మార్క్
°	డిగ్రీ	ఋజువు | గంట | డిగ్రీ
±	కూడిక-తీసివేత	కూడిక-తీసివేత
²	సూపర్ స్క్రిప్ట్ రెండు	రెండు | సూపర్ స్క్రిప్ట్ | సూపర్ స్క్రిప్ట్ రెండు | స్క్వేర్డ్
³	సూపర్ స్క్రిప్ట్ మూడు	క్యూబ్డ్ | మూడు | సూపర్ స్క్రిప్ట్ | సూపర్ స్క్రిప్ట్ మూడు
´	చురుకైన స్వరం	చురుకైన | టోన్ | స్వరం
µ	మైక్రో గుర్తు	కొలత | మైక్రో గుర్తు
¶	పేరాగ్రాఫ్ గుర్తు	అలినియా | పిల్క్రో | పేరా | పేరాగ్రాఫ్ | పేరాగ్రాఫ్ గుర్తు
·	మధ్య డాట్	ఇంటర్ పంచ్యువేషన్ | డాట్ | మధ్య
¹	సూపర్ స్క్రిప్ట్ ఒకటి	ఒకటి | సూపర్ స్క్రిప్ట్ | సూపర్ స్క్రిప్ట్ ఒకటి
»	కుడి గిలెమెట్	కారెట్లు | కుడి | కుడి గిలెమెట్ | కోణం | క్వాట్ | చేవ్రాన్ | బ్రాకెట్లు
¿	విలోమ ప్రశ్న గుర్తు	ప్రశ్న | ప్రశ్న గుర్తు | విలోమ | విలోమ ప్రశ్న గుర్తు
×	గుణింతపు గుర్తు	గుణించు | గుణింతం | గుణింతపు గుర్తు | సార్లు
÷	విభజన గుర్తు	ఒబెలస్ | విభజన | విభజన గుర్తు | విభజించు
֏	అమెరికన్ డ్రామ్	
؋	ఆఫ్ఘాన్ ఆఫ్ఘాని	
،	అరబిక్ కామా	అరబిక్ | కామా
؛	అరబిక్ సెమీకొలన్	అరబిక్ | అరబిక్ సెమీకొలన్ | సెమీ-కొలన్
؟	అరబిక్ ప్రశ్న గుర్తు	అరబిక్ ప్రశ్న గుర్తు | అరబిర్ | ప్రశ్న | ప్రశ్న గుర్తు
৳	బాంగ్లాదేశ్ టాకా	
฿	థాయ్ బాట్	
៛	కాంబోడియన్ రీల్	
‐	హైఫన్	డాష్ | హైఫన్
–	ఎన్ డాష్	ఎన్ | డాష్
—	ఎమ్ డాష్	ఎమ్ | డాష్
―	సమాంతర బార్	డాష్ | పంక్తి | బార్ | సమాంతర బార్
‘	ఎడమవైపు ఉన్న అపాస్ట్రఫీ	అపాస్ట్రఫీ | ఎడమవైపు ఉన్న అపాస్ట్రఫీ | కోట్ | సింగిల్ కోట్ | స్మార్ట్ కోట్
’	కుడివైపు ఉన్న అపాస్ట్రఫీ	అపాస్ట్రఫీ | కుడివైపు ఉన్న అపాస్ట్రఫీ | కోట్ | సింగిల్ కోట్ | స్మార్ట్ కోట్
‚	కింద కుడివైపు ఉన్న అపాస్ట్రఫీ	అపాస్ట్రఫీ | కింద కుడివైపు ఉన్న అపాస్ట్రఫీ | కోట్ | తక్కువ కోట్
“	ఎడమ కొటేషన్ గుర్తు	ఎడమ కొటేషన్ గుర్తు | కొటేషన్ | కోట్ | డబుల్ కోట్ | స్మార్ట్ కొటేషన్
”	కుడి కొటేషన్ గుర్తు	కుడి కొటేషన్ గుర్తు | కొటేషన్ | కోట్ | డబుల్ కోట్ | స్మార్ట్ కొటేషన్
„	దిగువ కుడి కొటేషన్ గుర్తు	కొటేషన్ | కోట్ | డబుల్ కోట్ | దిగువ కుడి కొటేషన్ గుర్తు | దిగువ కొటేషన్ | స్మార్ట్ కొటేషన్
†	డాగ్గర్ గుర్తు	ఆబ్లిస్క్ | ఒబేలస్ | డాగ్గర్ | డాగ్గర్ గుర్తు
‡	డబుల్ డాగ్గర్ గుర్తు	ఒబేలస్ | ఒబ్లిస్క్ | డబుల్ | డబుల్ డాగ్గర్ గుర్తు | డాగ్గర్
•	బుల్లెట్	డాట్ | బుల్లెట్
…	అండాకారం	అండాకారం | ఒమిషన్ | చుక్కలు
‧	హైఫనేషన్ స్థానం	డాష్ | స్థానం | హైఫనేషన్ స్థానం | హైఫన్
‰	పర్ మిల్లె	పర్ మిల్ | పర్ మిల్లె | పర్‌మిల్ | పర్‌మిల్లే
′	ప్రైమ్	ప్రైమ్
″	డబుల్ ప్రైమ్	డబుల్ ప్రైమ్ | ప్రైమ్
‴	ట్రిపుల్ ప్రైమ్	ట్రిపుల్ ప్రైమ్ | ప్రైమ్
‸	కేరెట్	కేరెట్
※	సూచన గుర్తు	సూచన గుర్తు
‼	ఆశ్చర్యార్థకం గుర్తులు	!! | ఆశ్చర్యార్థకం | ఆశ్చర్యార్థకం గుర్తులు | గుర్తు | బ్యాంగ్ బ్యాంగ్ | రెండు ఆశ్చర్యార్థకం గుర్తులు
‽	ఇంటర్రోబ్యాంగ్	ఇంటర్రోబ్యాంగ్
‾	ఓవర్‌లైన్	ఓవర్‌లైన్
⁂	నక్షత్ర సమూహం	నక్షత్ర సమూహం
⁄	భిన్నం స్లాష్	భిన్నం స్లాష్ | వర్గ్యూల్ | స్ట్రోక్
⁉	ఆశ్చర్యార్థకం ప్రశ్నార్థకం గుర్తు	!? | ఆశ్చర్యార్థకం | ఇంటర్రోబాంగ్ | గుర్తు | ప్రశ్నార్థకం | మార్క్
⁻	సూపర్ స్క్రిప్ట్ మైనస్	మైనస్ | సూపర్ స్క్రిప్ట్ | సూపర్ స్క్రిప్ట్ మైనస్
₡	కోస్టా రికన్ కోలోన్	
₢	క్రూజిరో	కరెన్సీ | క్రూజిరో | బిఆర్‌బి
₣	ఫ్రెంచ్ ఫ్రాంక్	కరెన్సీ | ఫ్రెంచ్ | ఫ్రెంచ్ ఫ్రాంక్
₤	లిరా	కరెన్సీ | లిరా
₥	మిల్	మిల్
₦	నైజీరియన్ నైరా	
₨	రూపాయి	కరెన్సీ | రూపాయి
₩	వాన్	కెఆర్‌డబ్ల్యూ | కెపిడబ్ల్యూ | వాన్
₪	ఇజ్రాయేలీ న్యూ షెకెల్	
₫	వియత్నామీయుల డాంగ్	
€	యూరో	ఇయుఆర్ | కరెన్సీ | యూరో
₭	లావోషన్ కిప్	
₮	మంగోలియన్ టుగ్రిక్	
₰	జర్మన్ పెన్నీ	కరెన్సీ | జర్మన్ పెన్నీ | పిఫెన్నింగ్
₱	పెసో	పెసో
₲	పరగ్వాయన్ గ్వారని	
₳	ఆస్ట్రల్	అరా | ఆస్ట్రల్ | కరెన్సీ
₴	ఉక్రేనియన్ హ్రివ్నియా	
₵	గానెయన్ సెడి	
₶	లివ్రె టూర్నోయిస్	కరెన్సీ | లివ్రె టూర్నోయిస్
₷	స్పెస్మిలో	కరెన్సీ | స్పెస్మిలో
₸	ఖజికిస్థాన్ టెంగే	
₹	భారతీయ రూపాయి	కరెన్సీ | భారతీయ రూపాయి | రూపాయి
₺	టర్కిష్ లీరా	
₼	అజర్బైజాన్ మానట్	
₽	రబల్	కరెన్సీ | రబల్
₾	జార్జియన్ లారి	
₿	బిట్‌కాయిన్	బిటిసి | బిట్‌కాయిన్
℗	ధ్వని రికార్డింగ్ కాపీరైట్	కాపీరైట్ | ధ్వని | రికార్డింగ్
™	ట్రేడ్ మార్క్ చిహ్నం	టీఎం | ట్రేడ్ | ట్రేడ్ మార్క్ చిహ్నం | ట్రేడ్‌మార్క్ | మార్క్
ℹ	సమాచారం	ఇన్ఫర్మేషన్ | సమాచారం | సమాచార మూలం
←	ఎడమవైపు చూపుతున్న బాణం	ఎడమ | ఎడమవైపు చూపుతున్న బాణం | బాణం
↑	పైకి చూపుతున్న బాణం	పైకి | పైకి చూపుతున్న బాణం | బాణం
→	కుడివైపు చూపుతున్న బాణం	కుడి | కుడివైపు చూపుతున్న బాణం | బాణం
↓	కిందికి చూపుతున్న బాణం	కింద | కిందికి చూపుతున్న బాణం | బాణం
↔	ఎడమ మరియు కుడి బాణం	ఇరువైపులా మార్గము | ఇరువైపులా మార్గము సంజ్ఞ | ఎడమ | ఎడమ మరియు కుడి బాణం | కాపీ చేసి పేస్ట్ చేయడానికి గుర్తు | కుడి | కోడ్ పాయింట్ | బాణం
↕	ఎగువ మరియు దిగువ బాణం	ఎగువ | ఎగువ మరియు దిగువ బాణం | ఎగువన మరియు దిగువన | దిగువ | బాణం | ముందుకి వెనక్కి ఉన్న బాణం
↖	ఎగువ ఎడమ బాణం	ఆరో | ఇంటర్‌కార్డినల్ | ఎగువ ఎడమ బాణం | దిక్కు | దిశ | బాణం | వాయువ్యం
↗	ఎగువ కుడి మూల బాణం	ఆరో | ఇంటర్‌కార్డినల్ | ఈశాన్యం | ఎగువ కుడి మూల బాణం | దిక్కు | దిశ | బాణం
↘	దిగువ కుడి మూల బాణం	ఆగ్నేయం | ఇంటర్ కార్డినల్ | డైరెక్షన్ | దిక్కు | దిగువ కుడి మూల బాణం | దిశ | బాణం
↙	దిగువ ఎడమ బాణం	ఆరో | దిక్కు | దిగువ ఎడమ బాణం | దిశ | నైరుతి | బాణం
↚	ఎడమవైపు బాణం స్ట్రోక్	ఎడమవైపు బాణం స్ట్రోక్
↛	కుడివైపు బాణం స్ట్రోక్	కుడివైపు బాణం స్ట్రోక్
↜	ఎడమవైపు వేవ్ బాణం	ఎడమవైపు వేవ్ బాణం
↝	కుడివైపు వేవ్ బాణం	కుడివైపు వేవ్ బాణం
↞	ఎడమవైపు రెండు తలలు ఉన్న బాణం	ఎడమవైపు రెండు తలలు ఉన్న బాణం
