# CLDR symbol names for pa: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ਹੈਰਾਨੀਵਾਚਕ ਚਿੰਨ੍ਹ	ਹੈਰਾਨੀ | ਹੈਰਾਨੀਵਾਚਕ ਚਿੰਨ੍ਹ | ਹੈਰਾਨੀਵਾਚਕ ਨਿਸ਼ਾਨ | ਹੈਰਾਨੀਵਾਚਕ ਨੁਕਤਾ | ਬੈਂਗ | ਵਿਸਮਕ ਚਿੰਨ੍ਹ
#	ਹੈਸ਼ ਚਿੰਨ੍ਹ	ਅੰਕ | ਸੰਖਿਆ | ਹੈਸ਼ | ਹੈਸ਼ ਚਿੰਨ੍ਹ | ਹੈਸ਼ਟੈਗ | ਨੰਬਰ | ਪੌਂਡ
$	ਡਾਲਰ	USD | ਡਾਲਰ | ਪੇਸੋ | ਪੈਸਾ
%	ਫ਼ੀਸਦੀ	ਪ੍ਰਤਿ ਸੈਂਕੜਾ | ਪ੍ਰਤਿਸ਼ਤ | ਫ਼ੀ ਸੈਂਕੜਾ | ਫ਼ੀਸਦੀ
&	ਐਮਪਰਸੈਂਡ	‘ਤੇ | et | ਅਤੇ | ਐਮਪਰਸੈਂਡ | ਤੇ
'	ਟਾਈਪਰਾਈਟਰ ਦਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ	ਇੱਕਲ ਹਵਾਲਾ | ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ | ਹਵਾਲਾ | ਟਾਈਪਰਾਈਟਰ ਦਾ ਸਬੰਧ ਕਾਰਕ ਚਿੰਨ੍ਹ
)	ਬੰਦ ਬਰੈਕਟ	ਗੋਲ ਬਰੈਕਟ | ਪੈਰੇਂਸ | ਪੈਰੇਨ | ਬੰਦ ਬਰੈਕਟ | ਬਰੈਕਟ
*	ਤਾਰਾ ਚਿੰਨ੍ਹ	ਤਾਰਾ | ਤਾਰਾ ਚਿੰਨ੍ਹ | ਤਾਰਾ ਨਿਸ਼ਾਨ | ਤਾਰੇ ਦਾ ਨਿਸ਼ਾਨ | ਵਾਈਲਡਕਾਰਡ
+	ਜੋੜ ਦਾ ਚਿੰਨ੍ਹ	ਜਮ੍ਹਾ | ਜੋੜ | ਜੋੜ ਦਾ ਚਿੰਨ੍ਹ
,	ਕਾਮਾ	ਅਰਧ-ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ | ਕਾਮਾ
-	ਸਮਾਸ ਚਿੰਨ੍ਹ-ਮਨਫ਼ੀ	ਸਮਾਸ ਚਿੰਨ੍ਹ | ਸਮਾਸ ਚਿੰਨ੍ਹ-ਮਨਫ਼ੀ | ਹਾਈਫ਼ਨ | ਘਟਾਅ ਚਿੰਨ੍ਹ | ਡੈਸ਼ | ਮਨਫ਼ੀ | ਮਾਈਨਸ
.	ਪੀਰੀਅਡ	ਡਾਟ | ਪੀਰੀਅਡ | ਪੂਰਨ ਵਿਸ਼ਰਾਮ ਚਿੰਨ੍ਹ | ਫੁੱਲ ਸਟਾਪ | ਬਿੰਦੀ
/	ਸਲੈਸ਼	ਸਟ੍ਰਾਕ | ਸਲੈਸ਼ | ਕਾਟਵੀਂ ਡੰਡੀ | ਟੇਢੀ ਡੰਡੀ | ਤਿਰਛੀ ਡੰਡੀ
:	ਕਾਲਨ	ਕਾਲਨ
;	ਸੈਮੀਕਾਲਨ	ਸੈਮੀ-ਕਾਲਨ | ਸੈਮੀਕਾਲਨ
<	ਤੋਂ ਘੱਟ	ਖੁੱਲ੍ਹਾ ਟੈਗ | ਟੈਗ | ਤੋਂ ਘੱਟ
=	ਬਰਾਬਰ	ਬਰਾਬਰ | ਬਰਾਬਰ ਦਾ
>	ਤੋਂ ਵੱਧ	ਟੈਗ | ਤੋਂ ਵੱਧ | ਬੰਦ ਟੈਗ
?	ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ	ਸਵਾਲ | ਪ੍ਰਸ਼ਨ | ਪ੍ਰਸ਼ਨ ਚਿੰਨ੍ਹ
@	ਐਟ-ਚਿੰਨ੍ਹ	ਅੱਰੋਬਾ | ਅਰੋਬੇਸ | ਐਟ ਚਿੰਨ੍ਹ | ਐਟ ਨਿਸ਼ਾਨ | ਐਟ-ਚਿੰਨ੍ਹ | ਐਮਪਰਸੈਟ | ਸਟਰੁਡੇਲ | ਵਪਾਰਕ ਐਟ
[	ਖੁੱਲ੍ਹਾ ਵਰਗਾਕਾਰ ਬਰੈਕਟ	ਕਰੋਸ਼ੀਆ | ਖੁੱਲ੍ਹਾ ਵਰਗਾਕਾਰ ਬਰੈਕਟ | ਬਰੈਕਟ | ਵਰਗ ਬਰੈਕਟ
\	ਬੈਕਸਲੈਸ਼	ਪੁੱਠੀ ਸਲੈਸ਼ | ਪੁੱਠੀ ਟੇਢੀ ਡੰਡੀ | ਪੁੱਠੀ ਤਿਰਛੀ ਡੰਡੀ | ਬੈਕਸਲੈਸ਼
]	ਬੰਦ ਵਰਗ ਬਰੈਕਟ	ਕਰੋਸ਼ੀਆ | ਬੰਦ ਵਰਗ ਬਰੈਕਟ | ਬਰੈਕਟ | ਵਰਗ ਬਰੈਕਟ
^	ਸਰਕਮਫ਼ਲੈਕਸ ਧੁਨੀ ਚਿੰਨ੍ਹ	ਉਚਾਰਨ ਢੰਗ | ਐਕਸੋਰ ਚਿੰਨ੍ਹ | ਸਰਕਮਫ਼ਲੈਕਸ ਧੁਨੀ ਚਿੰਨ੍ਹ | ਸ਼ੈਵਰੋਨ | ਘਾਤ | ਟੋਪੀ | ਦੀਰਘਤਾ ਸੂਚਕ ਚਿੰਨ੍ਹ | ਪੁਆਇੰਟਰ
_	ਨੀਵੀਂ ਲੇਟਵੀਂ ਰੇਖਾ	ਅੰਡਰਡੈਸ਼ | ਅੰਡਰਲਾਈਨ | ਹੇਠਲੀ ਲੇਟਵੀਂ ਡੰਡੀ | ਡੈਸ਼ | ਨੀਵੀਂ ਲੇਟਵੀਂ ਡੰਡੀ | ਨੀਵੀਂ ਲੇਟਵੀਂ ਰੇਖਾ | ਰੇਖਾ | ਲਾਈਨ
`	ਗਰੇਵ ਧੁਨੀ ਚਿੰਨ੍ਹ	ਉਚਾਰਨ ਢੰਗ | ਗਰੇਵ | ਗਰੇਵ ਧੁਨੀ ਚਿੰਨ੍ਹ | ਧੁਨੀ | ਭਾਰੀ
{	ਖੁੱਲ੍ਹਾ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ	ਕੁੰਡਲਦਾਰ ਬਰੇਸ | ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ | ਖੁੱਲ੍ਹਾ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ | ਗੁਲਵਿੰਗ | ਬਰੇਸ | ਬਰੈਕਟ
|	ਸਿੱਧੀ ਲਾਈਨ	ਸਟ੍ਰੋਕ | ਸਿੱਧੀ ਪੱਟੀ | ਸਿੱਧੀ ਲਾਈਨ | ਸ਼ੇਫਰ ਸਟ੍ਰੋਕ | ਡੰਡੀ | ਪਾਈਪ | ਲਾਈਨ | ਵੀਬਾਰ
}	ਬੰਦ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ	ਕੁੰਡਲਦਾਰ ਬਰੇਸ | ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ | ਗੁਲਵਿੰਗ | ਬੰਦ ਕੁੰਡਲਦਾਰ ਬਰੈਕਟ | ਬਰੇਸ | ਬਰੈਕਟ
