# CLDR symbol names for kn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ಆಶ್ಚರ್ಯಸೂಚಕ	ಆಶ್ಚರ್ಯಸೂಚಕ | ಆಶ್ಚರ್ಯಸೂಚಕ ಬಿಂದು | ಬ್ಯಾಂಗ್‌
#	ಹ್ಯಾಶ್‌ ಚಿಹ್ನೆ	ಎಲ್‌ಬಿ | ಪೌಂಡ್‌ | ಸಂಖ್ಯೆ | ಹ್ಯಾಶ್‌ | ಹ್ಯಾಶ್‌ ಚಿಹ್ನೆ | ಹ್ಯಾಶ್‌ಟ್ಯಾಗ್‌
$	ಡಾಲರ್	ಡಾಲರ್ | ಪೆಸೋ | ಯುಎಸ್‌ಡಿ | ಹಣ
%	ಶೇಕಡಾ	ಪರ್‌ ಸೆಂಟ್‌ | ಶೇಕಡಾ
&	ಆ್ಯಂಪರ್ಸ್ಯಾಂಡ್‌	ಆ್ಯಂಪರ್ಸ್ಯಾಂಡ್‌ | ಇಟಿ | ಮತ್ತು
'	ಟೈಪ್‌ರೈಟರ್‌ ಅಪಾಸ್ಟ್ರಫಿ	ಅಪಾಸ್ಟ್ರಫಿ | ಕೋಟ್ | ಟೈಪ್‌ರೈಟರ್‌ ಅಪಾಸ್ಟ್ರಫಿ | ಸಿಂಗಲ್ ಕೋಟ್
)	ಮುಚ್ಚಿದ ಪ್ಯಾರೆಂಥೆಸಿಸ್‌	ಕ್ಲೋಸ್ ಪ್ಯಾರೆಂಥಿಸಿಸ್ | ಪಾರೆನ್ಸ್ | ಪ್ಯಾರೆಂಥಿಸಿಸ್ | ಪ್ಯಾರೆನ್ | ಬ್ರಾಕೆಟ್ | ಮುಚ್ಚಿದ ಪ್ಯಾರೆಂಥೆಸಿಸ್‌ | ರೌಂಡ್ ಬ್ರಾಕೆಟ್
*	ನಕ್ಷತ್ರ ಚಿಹ್ನೆ	ಚುಕ್ಕೆ | ನಕ್ಷತ್ರ | ನಕ್ಷತ್ರ ಚಿಹ್ನೆ | ವೈಲ್ಡ್‌ಕಾರ್ಡ್‌
+	ಅಧಿಕ ಚಿಹ್ನೆ	ಅಧಿಕ | ಅಧಿಕ ಚಿಹ್ನೆ | ಕೂಡಿಸು
,	ಅರ್ಧ ವಿರಾಮ ಚಿಹ್ನೆ	ಅರ್ಧ ವಿರಾಮ | ಅರ್ಧ ವಿರಾಮ ಚಿಹ್ನೆ
-	ಅಡ್ಡ ಕಳೆ	ಅಡ್ಡ ಕಳೆ | ಡ್ಯಾಶ್ | ಮೈನಸ್ | ಹೈಫನ್ | ಹೈಫನ್-ಮೈನಸ್
.	ಪೂರ್ಣವಿರಾಮ	ಚುಕ್ಕೆ | ಪೂರ್ಣ ವಿರಾಮ | ಪೂರ್ಣವಿರಾಮ | ಫುಲ್‌ಸ್ಟಾಪ್
